Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio
Amazonas,Colombia,10/1/20 4:23,-1.4429,-71.5724,2744,117,2615,12,"Amazonas, Colombia",3582.759926,4.263848397
Antioquia,Colombia,10/1/20 4:23,7.1986,-75.3412,115112,2399,106276,6437,"Antioquia, Colombia",1796.631301,2.084057266
Arauca,Colombia,10/1/20 4:23,7.0762,-70.7105,1725,50,1534,141,"Arauca, Colombia",657.9599808,2.898550725
Atlantico,Colombia,10/1/20 4:23,10.6966,-74.8741,67551,3072,63682,797,"Atlantico, Colombia",2664.19038,4.54767509
Bolivar,Colombia,10/1/20 4:23,8.6704,-74.03,28875,777,27575,523,"Bolivar, Colombia",1394.853414,2.690909091
Boyaca,Colombia,10/1/20 4:23,5.4545,-73.362,7351,150,6165,1036,"Boyaca, Colombia",603.839734,2.040538702
Caldas,Colombia,10/1/20 4:23,5.2983,-75.2479,5947,131,4984,832,"Caldas, Colombia",595.7395655,2.202791323
Capital District,Colombia,10/1/20 4:23,4.711,-74.0721,269201,6783,236897,25521,"Capital District, Colombia",3631.684359,2.519678604
Caqueta,Colombia,10/1/20 4:23,0.8699,-73.8419,8488,304,7605,579,"Caqueta, Colombia",2114.130151,3.581526861
Casanare,Colombia,10/1/20 4:23,5.7589,-71.5724,2438,48,1859,531,"Casanare, Colombia",579.7804539,1.968826907
Cauca,Colombia,10/1/20 4:23,2.705,-76.826,9492,263,8189,1040,"Cauca, Colombia",648.1446075,2.770754319
Cesar,Colombia,10/1/20 4:23,9.3373,-73.6536,20010,599,17277,2134,"Cesar, Colombia",1666.702761,2.993503248
Choco,Colombia,10/1/20 4:23,5.2528,-76.826,3997,156,3767,74,"Choco, Colombia",747.3458658,3.902927195
Cordoba,Colombia,10/1/20 4:23,8.0493,-75.574,23953,1538,21397,1018,"Cordoba, Colombia",1342.067915,6.420907611
Cundinamarca,Colombia,10/1/20 4:23,5.026,-74.03,33478,997,30436,2045,"Cundinamarca, Colombia",1146.876049,2.978075154
Guainia,Colombia,10/1/20 4:23,2.5854,-68.5247,874,13,792,69,"Guainia, Colombia",1816.5191,1.487414188
Guaviare,Colombia,10/1/20 4:23,1.0654,-73.2603,805,17,688,100,"Guaviare, Colombia",972.6098566,2.111801242
Huila,Colombia,10/1/20 4:23,2.5359,-75.5277,11738,370,10149,1219,"Huila, Colombia",1066.716589,3.152155393
La Guajira,Colombia,10/1/20 4:23,11.3548,-72.5205,8136,307,7373,456,"La Guajira, Colombia",923.9574816,3.773352999
Magdalena,Colombia,10/1/20 4:23,10.4113,-74.4057,15335,836,13791,708,"Magdalena, Colombia",1142.913785,5.45158135
Meta,Colombia,10/1/20 4:23,3.272,-73.0877,16220,416,14846,958,"Meta, Colombia",1560.032393,2.564734895
Narino,Colombia,10/1/20 4:23,1.2892,-77.3579,18420,683,16550,1187,"Narino, Colombia",1129.651072,3.707926167
Norte de Santander,Colombia,10/1/20 4:23,7.9463,-72.8988,15792,902,14001,889,"Norte de Santander, Colombia",1058.665714,5.711752786
Putumayo,Colombia,10/1/20 4:23,0.436,-75.5277,3790,176,3322,292,"Putumayo, Colombia",1088.511181,4.643799472
Quindio,Colombia,10/1/20 4:23,4.461,-75.6674,3746,99,2929,718,"Quindio, Colombia",693.8270507,2.642819007
Risaralda,Colombia,10/1/20 4:23,5.3158,-75.9928,11235,247,9820,1168,"Risaralda, Colombia",1190.903974,2.198486871
San Andres y Providencia,Colombia,10/1/20 4:23,12.5567,-81.7185,1478,15,998,465,"San Andres y Providencia, Colombia",2411.879896,1.01488498
Santander,Colombia,10/1/20 4:23,6.6437,-73.6536,31278,1316,26919,3043,"Santander, Colombia",1431.59421,4.207430143
Sucre,Colombia,10/1/20 4:23,8.814,-74.7233,14081,582,13100,399,"Sucre, Colombia",1556.147174,4.133229174
Tolima,Colombia,10/1/20 4:23,4.0925,-75.1545,12389,339,11102,948,"Tolima, Colombia",931.372807,2.736298329
Valle del Cauca,Colombia,10/1/20 4:23,3.8009,-76.6413,62702,2282,55791,4629,"Valle del Cauca, Colombia",1400.884652,3.639437339
Vaupes,Colombia,10/1/20 4:23,0.8554,-70.812,769,10,724,35,"Vaupes, Colombia",1884.94252,1.300390117
Vichada,Colombia,10/1/20 4:23,4.4234,-69.2878,529,4,500,25,"Vichada, Colombia",490.6871475,0.756143667