FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio
,,,Argentina,10/1/20 4:23,-38.4161,-63.6167,751001,16937,594645,139419,Argentina,1661.661885,2.255256651
,,,Bolivia,10/1/20 4:23,-16.2902,-63.5887,135311,7965,95529,31817,Bolivia,1159.176423,5.886439388
,,Acre,Brazil,10/1/20 4:23,-9.0238,-70.812,28222,659,25041,2522,"Acre, Brazil",3200.009071,2.335057756
,,Alagoas,Brazil,10/1/20 4:23,-9.5713,-36.782,86879,2072,83608,1199,"Alagoas, Brazil",2603.227644,2.384926162
,,Amapa,Brazil,10/1/20 4:23,0.902,-52.003,48254,709,36098,11447,"Amapa, Brazil",5705.596697,1.469308244
,,Amazonas,Brazil,10/1/20 4:23,-3.4168,-65.8561,139326,4156,116119,19051,"Amazonas, Brazil",3361.629611,2.982932116
,,Bahia,Brazil,10/1/20 4:23,-12.5797,-41.7007,310526,6744,296207,7575,"Bahia, Brazil",2087.841483,2.171798819
,,Ceara,Brazil,10/1/20 4:23,-5.4984,-39.3206,241159,8994,214221,17944,"Ceara, Brazil",2640.789971,3.729489673
,,Distrito Federal,Brazil,10/1/20 4:23,-15.7998,-47.8645,192245,3255,181308,7682,"Distrito Federal, Brazil",6375.71851,1.693151968
,,Espirito Santo,Brazil,10/1/20 4:23,-19.1834,-40.3089,131490,3545,121026,6919,"Espirito Santo, Brazil",3271.994326,2.696022511
,,Goias,Brazil,10/1/20 4:23,-15.827,-49.8362,209411,4672,199091,5648,"Goias, Brazil",2983.76229,2.231019383
,,Maranhao,Brazil,10/1/20 4:23,-4.9609,-45.2744,173564,3756,163892,5916,"Maranhao, Brazil",2453.138655,2.164043235
,,Mato Grosso,Brazil,10/1/20 4:23,-12.6819,-56.9211,123416,3406,104661,15349,"Mato Grosso, Brazil",3541.891354,2.759771829
,,Mato Grosso do Sul,Brazil,10/1/20 4:23,-20.7722,-54.7852,69706,1303,63288,5115,"Mato Grosso do Sul, Brazil",2508.324979,1.869279546
,,Minas Gerais,Brazil,10/1/20 4:23,-18.5122,-44.555,295169,7360,260674,27135,"Minas Gerais, Brazil",1394.359272,2.493486782
,,Para,Brazil,10/1/20 4:23,-1.9981,-54.9306,230449,6573,215527,8349,"Para, Brazil",2678.747138,2.852257983
,,Paraiba,Brazil,10/1/20 4:23,-7.24,-36.782,121267,2824,96044,22399,"Paraiba, Brazil",3017.998187,2.32874566
,,Parana,Brazil,10/1/20 4:23,-25.2521,-52.0215,178898,4485,130644,43769,"Parana, Brazil",1564.620192,2.507015171
,,Pernambuco,Brazil,10/1/20 4:23,-8.8137,-36.9541,147171,8251,127590,11330,"Pernambuco, Brazil",1539.917408,5.606403435
,,Piaui,Brazil,10/1/20 4:23,-7.7183,-42.7289,96086,2127,94235,-276,"Piaui, Brazil",2935.512875,2.213641946
,,Rio Grande do Norte,Brazil,10/1/20 4:23,-5.4026,-36.9541,69433,2393,40400,26640,"Rio Grande do Norte, Brazil",1979.92331,3.446487981
,,Rio Grande do Sul,Brazil,10/1/20 4:23,-30.0346,-51.2177,190572,4782,176768,9022,"Rio Grande do Sul, Brazil",1675.028537,2.509287828
,,Rio de Janeiro,Brazil,10/1/20 4:23,-22.9068,-43.1729,264783,18487,241650,4646,"Rio de Janeiro, Brazil",1533.645376,6.981943705
,,Rondonia,Brazil,10/1/20 4:23,-11.5057,-63.5806,65911,1357,57267,7287,"Rondonia, Brazil",3708.646907,2.058836916
,,Roraima,Brazil,10/1/20 4:23,-2.7376,-62.0751,50449,648,46135,3666,"Roraima, Brazil",8328.202047,1.2844655
,,Santa Catarina,Brazil,10/1/20 4:23,-27.2423,-50.2189,215478,2797,205075,7606,"Santa Catarina, Brazil",3007.458141,1.298044348
,,Sao Paulo,Brazil,10/1/20 4:23,-23.5505,-46.6333,985628,35622,855068,94938,"Sao Paulo, Brazil",2146.446892,3.614142455
,,Sergipe,Brazil,10/1/20 4:23,-10.5741,-37.3857,77440,2036,71213,4191,"Sergipe, Brazil",3368.866523,2.629132231
,,Tocantins,Brazil,10/1/20 4:23,-10.1753,-48.2982,68003,939,51924,15140,"Tocantins, Brazil",4323.508805,1.380821434
,,Antofagasta,Chile,10/1/20 4:23,-23.6509,-70.3975,19963,491,18993,479,"Antofagasta, Chile",3285.906632,2.459550168
,,Araucania,Chile,10/1/20 4:23,-38.9489,-72.3311,7440,113,6681,646,"Araucania, Chile",777.2475408,1.518817204
,,Arica y Parinacota,Chile,10/1/20 4:23,-18.594,-69.4785,8146,146,7599,401,"Arica y Parinacota, Chile",3603.340588,1.792290695
,,Atacama,Chile,10/1/20 4:23,-27.5661,-70.0503,7029,66,6602,361,"Atacama, Chile",2432.65131,0.938967136
,,Aysen,Chile,10/1/20 4:23,-45.9864,-73.7669,453,1,264,188,"Aysen, Chile",439.132205,0.220750552
,,Biobio,Chile,10/1/20 4:23,-37.4464,-72.1416,23610,328,21575,1707,"Biobio, Chile",1516.567586,1.389241847
,,Coquimbo,Chile,10/1/20 4:23,-29.959,-71.3389,11962,211,11398,353,"Coquimbo, Chile",1578.962652,1.763919077
,,Los Lagos,Chile,10/1/20 4:23,-41.9198,-72.1416,9360,95,8277,988,"Los Lagos, Chile",1129.469005,1.014957265
,,Los Rios,Chile,10/1/20 4:23,-40.231,-72.3311,1915,19,1516,380,"Los Rios, Chile",497.6132752,0.992167102
,,Magallanes,Chile,10/1/20 4:23,-52.368,-70.9863,8524,81,6877,1566,"Magallanes, Chile",5118.505041,0.950258095
,,Maule,Chile,10/1/20 4:23,-35.5183,-71.6885,15756,321,14295,1140,"Maule, Chile",1507.823341,2.037319117
,,Metropolitana,Chile,10/1/20 4:23,-33.4376,-70.6505,286701,9246,274142,3313,"Metropolitana, Chile",4030.77097,3.224962592
,,Nuble,Chile,10/1/20 4:23,-36.7226,-71.7622,6384,117,5901,366,"Nuble, Chile",1328.314701,1.832706767
,,OHiggins,Chile,10/1/20 4:23,-34.5755,-71.0022,16461,416,15410,635,"OHiggins, Chile",1799.891751,2.527185469
,,Tarapaca,Chile,10/1/20 4:23,-19.9232,-69.5132,11792,227,11293,272,"Tarapaca, Chile",3567.301351,1.925033921
,,Unknown,Chile,10/1/20 4:23,,,53,1,53,,"Unknown, Chile",,1.886792453
,,Valparaiso,Chile,10/1/20 4:23,-33.0472,-71.6127,27442,862,25713,867,"Valparaiso, Chile",1511.2049,3.141170469
,,Amazonas,Colombia,10/1/20 4:23,-1.4429,-71.5724,2744,117,2615,12,"Amazonas, Colombia",3582.759926,4.263848397
,,Antioquia,Colombia,10/1/20 4:23,7.1986,-75.3412,115112,2399,106276,6437,"Antioquia, Colombia",1796.631301,2.084057266
,,Arauca,Colombia,10/1/20 4:23,7.0762,-70.7105,1725,50,1534,141,"Arauca, Colombia",657.9599808,2.898550725
,,Atlantico,Colombia,10/1/20 4:23,10.6966,-74.8741,67551,3072,63682,797,"Atlantico, Colombia",2664.19038,4.54767509
,,Bolivar,Colombia,10/1/20 4:23,8.6704,-74.03,28875,777,27575,523,"Bolivar, Colombia",1394.853414,2.690909091
,,Boyaca,Colombia,10/1/20 4:23,5.4545,-73.362,7351,150,6165,1036,"Boyaca, Colombia",603.839734,2.040538702
,,Caldas,Colombia,10/1/20 4:23,5.2983,-75.2479,5947,131,4984,832,"Caldas, Colombia",595.7395655,2.202791323
,,Capital District,Colombia,10/1/20 4:23,4.711,-74.0721,269201,6783,236897,25521,"Capital District, Colombia",3631.684359,2.519678604
,,Caqueta,Colombia,10/1/20 4:23,0.8699,-73.8419,8488,304,7605,579,"Caqueta, Colombia",2114.130151,3.581526861
,,Casanare,Colombia,10/1/20 4:23,5.7589,-71.5724,2438,48,1859,531,"Casanare, Colombia",579.7804539,1.968826907
,,Cauca,Colombia,10/1/20 4:23,2.705,-76.826,9492,263,8189,1040,"Cauca, Colombia",648.1446075,2.770754319
,,Cesar,Colombia,10/1/20 4:23,9.3373,-73.6536,20010,599,17277,2134,"Cesar, Colombia",1666.702761,2.993503248
,,Choco,Colombia,10/1/20 4:23,5.2528,-76.826,3997,156,3767,74,"Choco, Colombia",747.3458658,3.902927195
,,Cordoba,Colombia,10/1/20 4:23,8.0493,-75.574,23953,1538,21397,1018,"Cordoba, Colombia",1342.067915,6.420907611
,,Cundinamarca,Colombia,10/1/20 4:23,5.026,-74.03,33478,997,30436,2045,"Cundinamarca, Colombia",1146.876049,2.978075154
,,Guainia,Colombia,10/1/20 4:23,2.5854,-68.5247,874,13,792,69,"Guainia, Colombia",1816.5191,1.487414188
,,Guaviare,Colombia,10/1/20 4:23,1.0654,-73.2603,805,17,688,100,"Guaviare, Colombia",972.6098566,2.111801242
,,Huila,Colombia,10/1/20 4:23,2.5359,-75.5277,11738,370,10149,1219,"Huila, Colombia",1066.716589,3.152155393
,,La Guajira,Colombia,10/1/20 4:23,11.3548,-72.5205,8136,307,7373,456,"La Guajira, Colombia",923.9574816,3.773352999
,,Magdalena,Colombia,10/1/20 4:23,10.4113,-74.4057,15335,836,13791,708,"Magdalena, Colombia",1142.913785,5.45158135
,,Meta,Colombia,10/1/20 4:23,3.272,-73.0877,16220,416,14846,958,"Meta, Colombia",1560.032393,2.564734895
,,Narino,Colombia,10/1/20 4:23,1.2892,-77.3579,18420,683,16550,1187,"Narino, Colombia",1129.651072,3.707926167
,,Norte de Santander,Colombia,10/1/20 4:23,7.9463,-72.8988,15792,902,14001,889,"Norte de Santander, Colombia",1058.665714,5.711752786
,,Putumayo,Colombia,10/1/20 4:23,0.436,-75.5277,3790,176,3322,292,"Putumayo, Colombia",1088.511181,4.643799472
,,Quindio,Colombia,10/1/20 4:23,4.461,-75.6674,3746,99,2929,718,"Quindio, Colombia",693.8270507,2.642819007
,,Risaralda,Colombia,10/1/20 4:23,5.3158,-75.9928,11235,247,9820,1168,"Risaralda, Colombia",1190.903974,2.198486871
,,San Andres y Providencia,Colombia,10/1/20 4:23,12.5567,-81.7185,1478,15,998,465,"San Andres y Providencia, Colombia",2411.879896,1.01488498
,,Santander,Colombia,10/1/20 4:23,6.6437,-73.6536,31278,1316,26919,3043,"Santander, Colombia",1431.59421,4.207430143
,,Sucre,Colombia,10/1/20 4:23,8.814,-74.7233,14081,582,13100,399,"Sucre, Colombia",1556.147174,4.133229174
,,Tolima,Colombia,10/1/20 4:23,4.0925,-75.1545,12389,339,11102,948,"Tolima, Colombia",931.372807,2.736298329
,,Unknown,Colombia,10/1/20 4:23,,,0,0,0,0,"Unknown, Colombia",,
,,Valle del Cauca,Colombia,10/1/20 4:23,3.8009,-76.6413,62702,2282,55791,4629,"Valle del Cauca, Colombia",1400.884652,3.639437339
,,Vaupes,Colombia,10/1/20 4:23,0.8554,-70.812,769,10,724,35,"Vaupes, Colombia",1884.94252,1.300390117
,,Vichada,Colombia,10/1/20 4:23,4.4234,-69.2878,529,4,500,25,"Vichada, Colombia",490.6871475,0.756143667
,,,Ecuador,10/1/20 4:23,-1.8312,-78.1834,137047,11355,112296,13396,Ecuador,776.775684,8.285478704
,,,Guyana,10/1/20 4:23,4.860416,-58.93018,2894,80,1680,1134,Guyana,367.9317127,2.764340014
,,,Paraguay,10/1/20 4:23,-23.4425,-58.4438,40758,857,24449,15452,Paraguay,571.4381853,2.102654694
,,Amazonas,Peru,10/1/20 4:23,-5.077253,-78.050172,14769,213,0,14556,"Amazonas, Peru",3460.402999,1.442210035
,,Ancash,Peru,10/1/20 4:23,-9.407125,-77.671795,22728,1292,0,21436,"Ancash, Peru",1925.122819,5.684618092
,,Apurimac,Peru,10/1/20 4:23,-14.027713,-72.975378,4756,91,0,4665,"Apurimac, Peru",1104.248897,1.913372582
,,Arequipa,Peru,10/1/20 4:23,-15.843524,-72.475539,41748,1352,0,40396,"Arequipa, Peru",2788.03259,3.23847849
,,Ayacucho,Peru,10/1/20 4:23,-14.091648,-74.08344,11479,300,0,11179,"Ayacucho, Peru",1717.898833,2.613468072
,,Cajamarca,Peru,10/1/20 4:23,-6.430284,-78.745596,19751,470,0,19281,"Cajamarca, Peru",1358.670978,2.379626348
,,Callao,Peru,10/1/20 4:23,-11.954609,-77.136042,32353,1747,0,30606,"Callao, Peru",2863.350739,5.399808364
,,Cusco,Peru,10/1/20 4:23,-13.191068,-72.153609,20483,415,0,20068,"Cusco, Peru",1509.321347,2.0260704
,,Huancavelica,Peru,10/1/20 4:23,-13.023888,-75.00277,6697,111,0,6586,"Huancavelica, Peru",1833.287709,1.657458564
,,Huanuco,Peru,10/1/20 4:23,-9.421676,-76.040642,16031,378,0,15653,"Huanuco, Peru",2108.509799,2.357931508
,,Ica,Peru,10/1/20 4:23,-14.235097,-75.574821,27602,1596,0,26006,"Ica, Peru",2830.393765,5.782189696
,,Junin,Peru,10/1/20 4:23,-11.541783,-74.876968,19783,757,0,19026,"Junin, Peru",1453.029747,3.826517717
,,La Libertad,Peru,10/1/20 4:23,-7.92139,-78.370238,28893,2206,0,26687,"La Libertad, Peru",1432.616025,7.635067317
,,Lambayeque,Peru,10/1/20 4:23,-6.353049,-79.824113,26238,1686,0,24552,"Lambayeque, Peru",2001.678364,6.425794649
,,Lima,Peru,10/1/20 4:23,-11.766533,-76.604498,369737,14546,0,355191,"Lima, Peru",3478.731712,3.934147786
,,Loreto,Peru,10/1/20 4:23,-4.124847,-74.424115,19020,947,0,18073,"Loreto, Peru",1850.914753,4.978969506
,,Madre de Dios,Peru,10/1/20 4:23,-11.972699,-70.53172,8213,137,0,8076,"Madre de Dios, Peru",4725.546605,1.668087179
,,Moquegua,Peru,10/1/20 4:23,-16.860271,-70.839046,13252,263,0,12989,"Moquegua, Peru",6877.010898,1.984606097
,,Pasco,Peru,10/1/20 4:23,-10.39655,-75.307635,5107,109,0,4998,"Pasco, Peru",1878.264068,2.134325436
,,Piura,Peru,10/1/20 4:23,-5.133361,-80.335861,35136,1954,0,33182,"Piura, Peru",1715.625,5.561247723
,,Puno,Peru,10/1/20 4:23,-14.995827,-69.922726,14934,296,0,14638,"Puno, Peru",1206.300485,1.982054373
,,San Martin,Peru,10/1/20 4:23,-7.039531,-76.729127,17745,699,0,17046,"San Martin, Peru",1972.543353,3.939137785
,,Tacna,Peru,10/1/20 4:23,-17.644161,-70.27756,11911,212,0,11699,"Tacna, Peru",3210.512129,1.77986735
,,Tumbes,Peru,10/1/20 4:23,-3.857496,-80.545255,7311,301,0,7010,"Tumbes, Peru",2906.95825,4.117083846
,,Ucayali,Peru,10/1/20 4:23,-9.621718,-73.444929,16091,318,0,15773,"Ucayali, Peru",2731.454762,1.976260021
,,Unknown,Peru,10/1/20 4:23,,,0,0,676925,-676925,"Unknown, Peru",,
,,,Suriname,10/1/20 4:23,3.9193,-56.0278,4877,104,4695,78,Suriname,831.3531094,2.132458479
,,,Uruguay,10/1/20 4:23,-32.5228,-55.7658,2046,48,1791,207,Uruguay,58.89927447,2.346041056
,,,Venezuela,10/1/20 4:23,6.4238,-66.5897,75122,628,65225,9269,Venezuela,264.179739,0.835973483